Species;Distribution;mu;nu;ALIA;SD;NR;Date
Laurus nobilis;planophile;2.77;1.7;34.2;18.68;104;15/06/17
Ligustrum vulgare;planophile;2.13;1.1;30.59;20.72;102;23/06/17
Liquidambar styraciflua;erectophile;1.84;6.19;69.43;12.58;91;30/06/14
Lonicera maackii;planophile;1.6;0.73;28.11;22.85;80;11/10/11
Mahonia aquifolium;planophile;4.13;1.96;29;15.8;100;23/06/17
Malus domestica;planophile;4.74;2.26;29.04;14.88;102;15/06/17
Malus sylvestris;planophile;2.26;1.52;36.17;20.2;90;11/10/11
Malus yunnanensis var. veitchii;erectophile;2.24;4.62;60.6;15.05;80;11/10/11
Mespilus germanica;planophile;2.91;1.32;28.12;18.23;102;20/06/17
Morus alba;planophile;2.52;1.31;30.87;19.44;93;03/07/17
Morus australis;plagiophile;3.3;4.07;49.72;15.47;80;11/10/11
Morus nigra;spherical;1.75;2.21;50.26;20.06;103;03/07/17
Myrtus communis;planophile;1.89;1.24;35.64;21.66;167;06/06/17
Nerium oleander;uniform;1.05;0.98;43.55;25.85;112;15/06/17
Olea europaea var. frantoio;spherical;0.96;1.43;53.88;23.98;117;03/07/17
Osmanthus fragans;uniform;1.5;1.01;36.37;23.57;138;15/06/17
Ostrya carpinifolia;planophile;3.63;1.58;27.27;16.59;104;20/06/17
Parthenocissus quinquefolia;plagiophile;7.17;4.72;35.72;12.26;101;03/07/17
Paulownia tomentosa;plagiophile;2.24;2.28;45.32;19.16;101;03/07/17
Philadelphus sericanthus;plagiophile;1.94;1.99;45.61;20.28;80;11/10/11
Phillyrea angustifolia;uniform;1.65;1.41;41.52;22.26;119;06/06/17
Phillyrea latifolia;planophile;2.69;1.72;35.15;18.87;106;06/06/17
Photinia serrulata;uniform;1.27;1.57;49.74;22.86;117;15/06/17
Phyllostachys bambusoides;planophile;2.15;1.34;34.6;20.65;140;16/06/17
Pistacia lentiscus;planophile;2.18;0.78;23.82;19.96;83;06/06/17
Pittosporum tobira;planophile;2.37;1.12;28.96;19.85;81;06/06/17
Platanus acerifolia;plagiophile;3.42;3.3;44.21;16.19;101;30/06/14
Populus alba;uniform;1.38;1.04;38.6;24.08;109;23/06/17
Populus nigra;plagiophile;2.19;2.07;43.75;19.6;87;11/10/11
Populus tremula;planophile;2.1;1.13;31.51;20.86;294;01/06/13
Populus tremula;uniform;1.7;1.32;39.3;22.28;311;08/09/13
Populus tremula;uniform;1.53;1.28;41.06;22.96;81;11/10/11
Populus tremula;uniform;1.73;1.33;39.18;22.15;304;15/06/13
Populus tremula;planophile;1.98;1.31;35.83;21.29;303;31/07/13
Prunus armeniaca;plagiophile;2.41;3.23;51.55;17.28;104;15/06/17
Prunus avium var. plena ;plagiophile;5.2;6.52;50.1;12.54;91;11/10/11
Prunus cerasifera var. pissardii;planophile;1.53;0.96;34.73;23.44;119;20/06/17
Prunus cocomilia;planophile;2.52;1.23;29.54;19.38;81;11/10/11
Prunus domestica;planophile;3.1;1.91;34.3;17.83;96;20/06/17
Prunus laurocerasus;planophile;3.22;0.99;21.2;16.73;161;20/06/17
Prunus serotina;plagiophile;2.97;2.88;44.31;17.19;80;11/10/11
Prunus serrula;erectophile;1.47;3.69;64.41;16.35;75;11/10/11
Prunus spinosa;planophile;2.7;1.4;30.76;18.91;101;16/06/17
Prunus subhirtella;planophile;2.44;0.93;24.72;19.22;100;11/10/11
Pteridium aquilinum;planophile;4.33;1.19;19.43;14.51;77;20/06/17
Pterocarya fraxinifolia;planophile;5.29;3.11;33.34;14.17;100;11/10/11
Punica granatum;plagiophile;2.41;1.91;39.85;19.38;106;06/06/17
Pyracantha coccinea;planophile;1.7;0.77;28.16;22.41;79;15/06/17
Pyrus communis;planophile;4.56;1.53;22.55;14.65;101;11/10/11
Quercus cerris;planophile;2.88;1.15;25.68;18.13;86;20/06/17
Quercus ilex;planophile;2.27;1.51;36.01;20.16;85;20/06/17
Quercus petraea;planophile;2.43;1.12;28.46;19.63;84;20/06/17
Quercus pubescens;planophile;1.98;1.04;31.09;21.34;101;20/06/17
Quercus robur;planophile;2.55;1.61;34.79;19.29;115;11/10/11
Quercus rubra;planophile;3.51;1.55;27.59;16.86;200;02/09/11
Quercus rubra;planophile;4.34;1.79;26.24;15.32;200;05/07/11
Quercus rubra;plagiophile;2.86;2.64;43.16;17.63;199;10/05/11
Quercus rubra;planophile;5.11;1.73;22.72;13.97;200;11/08/11
Quercus rubra;planophile;5.4;1.72;21.73;13.52;200;14/06/11
Quercus rubra;planophile;3.6;1.26;23.31;16.3;200;17/05/11
Quercus suber;planophile;1.82;0.98;31.42;22.01;106;03/07/17
Rhamnus alaternus;planophile;2.26;1.31;32.97;20.3;206;06/06/17
Rhamnus parviflora;plagiophile;2.45;1.8;38.18;19.41;80;11/10/11
Robinia pseudoacacia;planophile;7.09;1.47;15.49;10.99;83;15/06/17
Rosa canina;planophile;5.62;2.83;30.13;13.82;80;11/10/11
Salix acutifolia;plagiophile;2.74;2.12;39.27;18.45;150;11/10/11
Salix alba;planophile;2.55;1.36;31.3;19.35;150;08/08/11
Salix caprea;planophile;3.2;1.76;32.01;17.65;80;11/10/11
Sambucus nigra;planophile;2.52;1.08;27;19.22;80;11/10/11
Sorbus aria;planophile;2.67;1.38;30.64;18.99;140;04/07/17
Sorbus domestica;planophile;2.63;1.19;27.96;18.98;93;20/06/17
Sorbus hybrida;plagiophile;2.26;1.87;40.69;19.77;80;11/10/11
